id;id_loja;departamento;setor;sistema_entrega;classe;nome_produto;data_ult_entr;estoque
7102;99;PERFUMARIA;PRODUTOS PARA PELE;supplier;E;HIDRAT NIVEA MILK EXTRA SECA 200ML;22/03/2024;0.0
7108;1;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;02/02/2024;53.0
7108;10;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;01/04/2024;0.0
7108;4;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;06/02/2024;0.0
7108;7;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;14/02/2024;0.0
7108;9;FRENTE DE CAIXA;NAO ALIMENTOS;cross_docking;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;05/02/2024;0.0
7108;99;FRENTE DE CAIXA;NAO ALIMENTOS;supplier;E;PILHA PANASONIC SUPER HIPER GRANDE D C2;;0.0
7132;3;PERFUMARIA;PRODUTOS POS BANHO;cross_docking;E;DES REXONA WOMEN ACTIVE EMOTION 150ML;26/12/2023;7.0
7132;7;PERFUMARIA;PRODUTOS POS BANHO;cross_docking;E;DES REXONA WOMEN ACTIVE EMOTION 150ML;30/01/2024;0.0
7138;10;PERFUMARIA;PRODUTOS POS BANHO;cross_docking;E;DES REXONA WOMEN ACTIVE EMOTION 50ML;16/02/2024;0.0
7138;3;PERFUMARIA;PRODUTOS POS BANHO;cross_docking;E;DES REXONA WOMEN ACTIVE EMOTION 50ML;05/03/2024;15.0
7150;1;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH MULTIUSO 500ML;10/01/2024;4.0
7150;2;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH MULTIUSO 500ML;17/02/2024;9.0
7150;4;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH MULTIUSO 500ML;08/01/2024;0.0
7150;7;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH MULTIUSO 500ML;16/02/2024;0.0
7150;99;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;supplier;E;TIRA MANCHAS VANISH MULTIUSO 500ML;01/04/2024;0.0
7153;1;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH WHITE 500ML;21/02/2024;7.0
7153;10;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH WHITE 500ML;;0.0
7153;2;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH WHITE 500ML;17/02/2024;6.0
7153;4;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH WHITE 500ML;15/02/2024;0.0
7153;7;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;TIRA MANCHAS VANISH WHITE 500ML;02/08/2023;0.0
7153;99;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;supplier;E;TIRA MANCHAS VANISH WHITE 500ML;14/02/2024;0.0
7154;99;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;supplier;E;ALVEJ VANISH WHITE 15L;27/02/2024;0.0
7166;99;BAZAR;ALUMINIO UTENSILIOS COZINHA;supplier;E;GARR TERM INVICTA INOX 18L;;0.0
7194;10;PAS PERECIVEIS AUTO SERVICO;IOGURTES;supplier;E;IOG NATURAL CENOU LARAN MEL 170G NESTLE;;0.0
7216;10;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;AZEITE EXTR VIRGEM VD 250ML LA VIOLETERA;12/02/2024;0.0
7218;2;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO PEDIGREE BISCROK JUNIOR 300G;29/01/2024;3.0
7231;2;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE 500G;29/04/2023;4.0
7231;4;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE 500G;29/02/2024;0.0
7231;7;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE 500G;28/10/2023;0.0
7234;1;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE FILHOTES 85G;29/02/2024;46.0
7234;2;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE FILHOTES 85G;29/02/2024;40.0
7234;7;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CARNE FILHOTES 85G;26/07/2023;0.0
7234;99;MERCEARIA NAO ALIMENTOS;PET SHOP;supplier;E;RACAO WHISKAS CARNE FILHOTES 85G;27/02/2024;0.0
7235;1;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CORDEIRO 85G;29/02/2024;45.0
7235;10;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CORDEIRO 85G;;0.0
7235;4;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CORDEIRO 85G;29/02/2024;0.0
7235;7;MERCEARIA NAO ALIMENTOS;PET SHOP;cross_docking;E;RACAO WHISKAS CORDEIRO 85G;29/02/2024;0.0
7235;99;MERCEARIA NAO ALIMENTOS;PET SHOP;supplier;E;RACAO WHISKAS CORDEIRO 85G;27/02/2024;0.0
7253;1;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;MOLHO PIMENTA 60ML BRAVO;01/11/2023;6.0
7253;2;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;MOLHO PIMENTA 60ML BRAVO;09/01/2024;3.0
7253;3;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;MOLHO PIMENTA 60ML BRAVO;26/09/2023;3.0
7253;4;MERCEARIA ALIMENTOS;TEMPERO CONDIMENTOS;cross_docking;E;MOLHO PIMENTA 60ML BRAVO;31/10/2023;0.0
